序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,,,,
184,HTB31型变频调速异步电动机-2,HTB31,DJ0310002,2010-7-8商务部（2010）第（00306）号》 振华购买我司2台30kW俯仰马达用于缅甸MITT桥吊项目,2010,2010-7-12,2010-9-29全部完工好从广汉电机部拉回成都发运,,,,
185,HTB12F型变频调速异步电动机-1,HTB12F,DJ12F0001,,2010,2010-7-28,,,,,
186,HTB12F型变频调速异步电动机-2,HTB12F,DJ12F0002,,2010,2010-7-28,,,,,
187,HTB23型变频调速异步电动机-1,HTB23,DJ0230001,功率640KW，电压480V,2010,2010-9-2,,,,,
188,HTB23型变频调速异步电动机-2,HTB23,DJ0230002,功率640KW，电压480V,2010,2010-9-2,,,,,
189,HTB23型变频调速异步电动机-3,HTB23,DJ0230003,功率640KW，电压480V。2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-7,,,,,
190,HTB23型变频调速异步电动机-4,HTB23,DJ0230004,功率640KW，电压480V。2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-7,,,,,
191,HTB23型变频调速异步电动机-5,HTB23,DJ0230005,功率640KW，电压480V。2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-7,,,,,
192,HTB23型变频调速异步电动机-6,HTB23,DJ0230006,功率640KW，电压480V。2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-7,,,,,
193,HTB35型变频调速异步电动机-1,HTB35,DJ0350001,从联轴节端看电机为左接线盒，顶置风机。20100930收到《技术部电机组 第（DJ-GZ2010-0095）号 9000m行星减速器绞车配套电机技术协议》，20101009收到《商务部（2010）第（00536）号》排产通知,2010,2010-10-5,,,,,
194,HTB35型变频调速异步电动机-2,HTB35,DJ0350002,从联轴节端看电机为左接线盒，顶置风机。20100930收到《技术部电机组 第（DJ-GZ2010-0095）号 9000m行星减速器绞车配套电机技术协议》，20101009收到《商务部（2010）第（00536）号》排产通知,2010,2010-10-5,,,,,
195,HTB35A型变频调速异步电动机-1,HTB35A,DJ35A0001,从联轴节端看电机为右接线盒，顶置风机。20100930收到《技术部电机组 第（DJ-GZ2010-0095）号 9000m行星减速器绞车配套电机技术协议》，20101009收到《商务部（2010）第（00536）号》排产通知,2010,2010-10-5,,,,,
196,HTB35A型变频调速异步电动机-2,HTB35A,DJ35A0002,从联轴节端看电机为右接线盒，顶置风机。20100930收到《技术部电机组 第（DJ-GZ2010-0095）号 9000m行星减速器绞车配套电机技术协议》，20101009收到《商务部（2010）第（00536）号》排产通知,2010,2010-10-5,,,,,
197,HTB36型变频调速异步电动机-1,HTB36,DJ0360001,1600KW，准备配套捷乌ZJ90DBS项目绞车电机（罗勇反馈信息）.谢丹(谢丹)2010-10-13:17:44:58(捷乌电机的事情，绞车用宏华的库存，永济的，然后把永济铭牌，颜色，说明书，图纸，改为宏天的。刚才和王总商量了可以),2010,2010-10-8,,待商务通知后下排产通知,,,
198,HTB36A型变频调速异步电动机-1,HTB36A,DJ36A0001,1600KW，准备配套捷乌ZJ90DBS项目绞车电机（罗勇反馈信息）.谢丹(谢丹)2010-10-13:17:44:58(捷乌电机的事情，绞车用宏华的库存，永济的，然后把永济铭牌，颜色，说明书，图纸，改为宏天的。刚才和王总商量了可以),2010,2010-10-8,,待商务通知后下排产通知,,,
199,HTB02型变频调速异步电动机-1,HTB02,DJ0020001,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
200,HTB02型变频调速异步电动机-2,HTB02,DJ0020002,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
201,HTB02型变频调速异步电动机-3,HTB02,DJ0020003,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
202,HTB02型变频调速异步电动机-4,HTB02,DJ0020004,2010.11.23袁亚芬《DJ-GZ2010-0156》增加3台用于欧亚项目,2010,2010-11-23,,,,,
203,HTB02型变频调速异步电动机-5,HTB02,DJ0020005,2010.11.23袁亚芬《DJ-GZ2010-0156》增加3台用于欧亚项目,2010,2010-11-23,,,,,
204,HTB02型变频调速异步电动机-6,HTB02,DJ0020006,2010.11.23袁亚芬《DJ-GZ2010-0156》增加3台用于欧亚项目,2010,2010-11-23,,,,,
205,HTB02型变频调速异步电动机-7,HTB02,DJ0020007,2010.12.02张鹏《DJ-GZ2010-0171》增加1台,2010,2010-12-2,,,,,,
206,HTB02A型变频调速异步电动机-1,HTB02A,DJ02A0001,准备单独销售给宏埃公司（罗勇反馈信息）,2010,2010-10-8,,待商务通知后下排产通知,,,
207,HTB02A型变频调速异步电动机-2,HTB02A,DJ02A0002,准备单独销售给宏埃公司（罗勇反馈信息）,2010,2010-10-8,,待商务通知后下排产通知,,,
208,HTB02A型变频调速异步电动机-3,HTB02A,DJ02A0003,备用,2010,2010-10-8,,待商务通知后下排产通知,,,
209,HTB02A型变频调速异步电动机-4,HTB02A,DJ02A0004,备用,2010,2010-10-8,,待商务通知后下排产通知,,,
210,HTB02A型变频调速异步电动机-5,HTB02A,DJ02A0005,2010.11.23袁亚芬《DJ-GZ2010-0156》增加3台用于欧亚项目,2010,2010-11-23,,,,,
211,HTB02A型变频调速异步电动机-6,HTB02A,DJ02A0006,2010.11.23袁亚芬《DJ-GZ2010-0156》增加3台用于欧亚项目,2010,2010-11-23,,,,,
212,HTB02A型变频调速异步电动机-7,HTB02A,DJ02A0007,2010.11.23袁亚芬《DJ-GZ2010-0156》增加3台用于欧亚项目,2010,2010-11-23,,,,,
213,HTB02A型变频调速异步电动机-8,HTB02A,DJ02A0008,2010.12.02张鹏《DJ-GZ2010-0171》增加1台,2010,2010-12-2,,,,,,
214,自制环保降噪发电房,,SB50DBS10022T,,2010,2010-3-1,,,,,,
215,新疆司钻房喊话系统,,HT1001,商务合同号：HTXQ10002。2010.1.21通过EMS发货。,2010,2010-3-1,,,,,
216,SLB50DBS-1,ZJ50DBS,HT10002,商务部联系单号：商务部（2010）第（00113）号,2010,2010-3-1,,,,,,
217,SLB50DBS-2,ZJ50DBS,HT10003,商务部联系单号：商务部（2010）第（00113）号,2010,2010-3-1,,,,,,
218,捷乌Erill俄产钻机发电系统和液压站控制箱,,HT10004,合同号：JZ100740，商务部联系单号：商务部（2010）第（00125）号，包括：8台发电机控制柜、2台同期柜及2套液压站电控箱。机具液压站控制箱，图号ZY093.01.00。2010-5-11力旺小车川A SU923送广汉。宏华令号：SB70DBS10035,2010,2010-3-1,,,,,,
219,顶驱房,,HT10005,兼容250T到500T，体现自己的优势，如重量轻，体积小等。2012-1-18《商务部（2012）第（00018）号》挪用到中石油川庆公司川西钻探 （苏丹备用项目）ZJ70DBS(HT11041)不含顶驱司钻控制箱。2012-1-18《总调度室（2012）第（00058）号》,2010,2010-3-1,,,,,,
220,模拟系统,,HT10006,模拟操作基本的钻井作业，参数齐全,2010,2010-3-1,,,,,,
221,通讯系统,,HT10007,现场总线和以太网在钻机上的不同应用样例，包括无线,2010,2010-3-1,,,,,,
222,测试系统,,HT10008,整套钻机的测试设备,2010,2010-3-1,,,,,
223,盘柜项目,,HT10009,技术部4-15申请联系单号201000833，项目编号：HKT10-08,2010,2010-3-1,,,,,
224,捷乌顶驱动力电缆,,HT10010,2010-4-15，商务部（2010）第（00155）号，合同号 JZ100846,2010,2010-3-1,,,,,
225,欧亚ZJ50DBS钻机-1,ZJ50DBS,HT10011,原俄罗斯北方钻井公司ZJ50DBS-4（SZ50DBS08092T）,2010,2010-5-7,,,,,
226,欧亚ZJ50DBS钻机-2,ZJ50DBS,HT10012,原俄罗斯北方钻井公司ZJ50DBS-6（SZ50DBS08094T）,2010,2010-5-7,,,,,
227,胜利西南油田设备维修,,HT10013,2010-5-11商务部（2010）第（00196）号。更换如下司钻房不锈钢防护栏1套，钢化玻璃3快，司钻房房体外侧小门变形需复原。,2010,2010-5-11,,,,,
228,钻井参数仪,,HT10014,,2010,2010-5-14,,,,,
229,捷乌ZJ70DBS列车钻机-1,ZJ70DBS,HT10015,2010-5-17《商务部（2010）第（00209）号》，配置方面将完全按照目前即将发货的捷乌70DBS（生产令号：SZ70DBS10004）配置执行。宏华项目指令：X10013221《商务部（2010）第（00236）号》,2010,2010-5-18,,,,,,
230,捷乌ZJ70DBS列车钻机-2,ZJ70DBS,HT10016,2010-5-17《商务部（2010）第（00209）号》，配置方面将完全按照目前即将发货的捷乌70DBS（生产令号：SZ70DBS10004）配置执行。宏华项目指令：X10016221《商务部（2010）第（00236）号》,2010,2010-5-18,,,,,,
231,川庆液压猫头改造钻机-1,,HT10017,2010-6-7《商务部（2010）第（00245）号》，宏天配套液压站电控箱，对应宏华生产令号：70000022。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
232,川庆液压猫头改造钻机-2,,HT10018,2010-6-7《商务部（2010）第（00245）号》，宏天配套液压站电控箱，对应宏华生产令号：70000040。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
233,川庆液压猫头改造钻机-3,,HT10019,2010-6-7《商务部（2010）第（00245）号》，宏天配套液压站电控箱，对应宏华生产令号：70000041。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
234,川庆液压猫头改造钻机-4,,HT10020,2010-6-7《商务部（2010）第（00245）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
235,川庆液压猫头改造钻机-5,,HT10021,2010-6-7《商务部（2010）第（00245）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
236,川庆液压猫头改造钻机-6,,HT10022,2010-6-7《商务部（2010）第（00245）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
237,川庆液压猫头改造钻机-7,,HT10023,2010-6-7《商务部（2010）第（00245）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
238,川庆液压猫头改造钻机-8,,HT10024,2010-6-7《商务部（2010）第（00245）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
239,川庆液压猫头改造钻机-9,,HT10025,2010-6-7《商务部（2010）第（00245）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
240,川庆液压猫头改造钻机-10,,HT10026,2010-6-7《商务部（2010）第（00245）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
241,川庆液压猫头改造钻机-11,,HT10027,2010-6-7《商务部（2010）第（00245）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
242,川庆液压猫头改造钻机-12,,HT10028,2010-6-7《商务部（2010）第（00245）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
243,川庆液压猫头改造钻机-13,,HT10029,2010-6-7《商务部（2010）第（00245）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
244,川庆液压猫头改造钻机-14,,HT10030,2010-6-7《商务部（2010）第（00245）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101454,2010,2010-6-7,,,,,,
245,DQ70BZ直驱顶驱-1,DQ70BZ,HT10031,2010-6-7《商务部（2010）第（00244）号》，宏华采购订单号：10003790，宏华生产订单号：10006010。2012-5-31《总调度室（2012）第（00636）号》配套给埃宏70顶驱,2010,2010-6-7,,,,,,
246,DQ70BZ直驱顶驱-2,DQ70BZ,HT10032,2010-6-7《商务部（2010）第（00244）号》，宏华采购订单号：10003890，宏华生产订单号：10006114,2010,2010-6-7,,,,,
247,四分厂喷漆间防爆操作箱,,HT10033,2010-6-9《商务部（2010）第（00249）号》生产2套，2010-6-9《总调室（2010）第（00594）号》,2010,2010-6-9,,,,,,
248,钻柱输送装置,,HT10034,2010-8-2吴骝华申请，给友信钻柱输送装置配套。2010-8-3《商务部（2010）第（00375）号》,2010,,,,,,,
249,NABORS ZJ50DBS固控配套-1,,HT10035,要按照2005年NABORSZJ50DBS钻机项目固控系统配套齐全的电控柜、电缆槽、电缆、照明灯柱和相关附件，所有器件采用国产,2010,2010-6-17,,,,,,
250,NABORS ZJ50DBS固控配套-2,,HT10036,要按照2005年NABORSZJ50DBS钻机项目固控系统配套齐全的电控柜、电缆槽、电缆、照明灯柱和相关附件，所有器件采用国产,2010,2010-6-17,,,,,,
251,NABORS ZJ50DBS固控配套-3,,HT10037,要按照2005年NABORSZJ50DBS钻机项目固控系统配套齐全的电控柜、电缆槽、电缆、照明灯柱和相关附件，所有器件采用国产,2010,2010-6-17,,,,,,
252,NABORS ZJ50DBS固控配套-4,,HT10038,要按照2005年NABORSZJ50DBS钻机项目固控系统配套齐全的电控柜、电缆槽、电缆、照明灯柱和相关附件，所有器件采用国产,2010,2010-6-17,,,,,,
253,NABORS ZJ50DBS固控配套-5,,HT10039,要按照2005年NABORSZJ50DBS钻机项目固控系统配套齐全的电控柜、电缆槽、电缆、照明灯柱和相关附件，所有器件采用国产,2010,2010-6-17,,,,,,
254,NABORS ZJ50DBS固控配套-6,,HT10040,要按照2005年NABORSZJ50DBS钻机项目固控系统配套齐全的电控柜、电缆槽、电缆、照明灯柱和相关附件，所有器件采用国产,2010,2010-6-17,,,,,,
255,NABORS ZJ50DBS固控配套-7,,HT10041,要按照2005年NABORSZJ50DBS钻机项目固控系统配套齐全的电控柜、电缆槽、电缆、照明灯柱和相关附件，所有器件采用国产,2010,2010-6-17,,,,,,
256,NABORS ZJ50DBS固控配套-8,,HT10042,要按照2005年NABORSZJ50DBS钻机项目固控系统配套齐全的电控柜、电缆槽、电缆、照明灯柱和相关附件，所有器件采用国产,2010,2010-6-17,,,,,,
257,NABORS ZJ50DBS柴油罐配套,,HT10043,,2010,2010-6-22,,,,,,
258,备用ZJ70DBS-1,ZJ70DBS,HT10044,海亮2010-6-28通知需采购2套70DBS传动作备用而编制此令号。,2010,2010-6-28,,,,,
259,备用ZJ70DBS-2,ZJ70DBS,HT10045,海亮2010-6-28通知需采购2套70DBS传动作备用而编制此令号。,2010,2010-6-28,,,,,
260,DQ70BZ直驱顶驱-3,DQ70BZ,HT10046,2010-7-29《商务部（2010）第（00355）号》，宏华生产指令:10009547,2010,2010-8-3,,,,,
261,DQ70BZ直驱顶驱-4,DQ70BZ,HT10047,2010-7-29《商务部（2010）第（00355）号》，宏华生产指令:10009547,2010,2010-8-3,,,,,
262,DQ120BZ直驱顶驱-1,DQ120BZ,HT10048,2010-7-29《商务部（2010）第（00355）号》，宏华生产指令:10004458,2010,2010-8-3,,,,,
263,DQ120BZ直驱顶驱-2,DQ120BZ,HT10049,2010-7-29《商务部（2010）第（00355）号》，宏华生产指令:10004458,2010,2010-8-3,,,,,
264,DQ90BZ直驱顶驱-1,DQ90BZ,HT10050,2010-8-11《商务部（2010）第（00398）号》，宏华生产指令:10004459。2012-3-16《商务部（2012）第（00036）号》，JZ121339,2010,2010-8-18,,,,,
265,DQ90BZ直驱顶驱-2,DQ90BZ,HT10051,2010-8-11《商务部（2010）第（00398）号》，宏华生产指令:10004459,2010,2010-8-18,,,,,
266,川西ZJ40L钻机改造（40526）,ZJ40L,HT10052,2010-8-19《商务部（2010）第（00407）号》，合同号：X40L10014。2010-11-25《商务部（2010）第（00710）号》，对应宏华生产指令：X10046228。司钻房挪用备用ZJ40L SZ40L10005T,2010,2010-8-19,,,,,,
267,川西ZJ50L钻机改造-1（50635）,ZJ50L,HT10053,2010-8-19《商务部（2010）第（00407）号》，合同号：X50L10015，宏华总调室贾振锡。2010-8-23《商务部（2010）第（00412）号》宏华生产令号：W10042212。挪用川局ZJ70LDB（SZ70LDB08040T）司钻房,2010,2010-8-19,,,,,,
268,川西ZJ50L钻机改造-2（50636）,ZJ50L,HT10054,2010-8-19《商务部（2010）第（00407）号》，合同号：X50L10016，宏华总调室贾振锡。2010-8-23《商务部（2010）第（00412）号》宏华生产令号：W10043212。挪用川局ZJ70LDB（SZ70LDB08134T）司钻房,2010,2010-8-19,,,,,,
269,川西ZJ50L钻机改造-3（50716）,ZJ50L,HT10055,2010-8-19《商务部（2010）第（00407）号》，合同号：X50L10017，宏华总调室贾振锡。2010-8-23《商务部（2010）第（00412）号》宏华生产令号：W10044212,2010,2010-8-19,,,,,,
270,川西ZJ50L钻机改造-4（50717）,ZJ50L,HT10056,2010-8-19《商务部（2010）第（00407）号》，合同号：X50L10018，宏华总调室贾振锡。2010-8-23《商务部（2010）第（00412）号》宏华生产令号：W10045212,2010,2010-8-19,,,,,
271,备用ZJ70DBS-3,ZJ70DBS,HT10057,2010.08.31《总调室（2010）第（00968）号》通知排产，对应2010.09.01《商务部（2010）第（00462）号》宏华生产指令：X10048221，2010-10-13《商务部（2010）第（00539）号》转为埃宏ZJ70DBS钻机，生产令号：X10048221,2010,2010-8-31,2010.10.13更新,,,,
272,备用ZJ70DBS-4,ZJ70DBS,HT10058,2010.08.31《总调室（2010）第（00968）号》通知排产,2010,2010-8-31,,,,,
273,备用ZJ70DBS-5,ZJ70DBS,HT10059,2010.08.31《总调室（2010）第（00968）号》通知排产，对应2010.09.01《商务部（2010）第（00462）号》宏华生产指令：X10049221,2010,2010-8-31,,,,,
274,川西ZJ70LC司钻房维修,ZJ70LC,HT10060,2010.09.01《商务部（2010）第（00466）号》,2010,2010-9-2,,,,,
275,友信液压猫头项目-1,,HT10061,包含（动力液压站控制箱1，动力液压站控制箱2，基座转接箱，动力猫道液压站）吴骝骅2010-9-9通知新增，合同号：HTXQ10028,2010,2010-9-9,,,,,,
276,友信液压猫头项目-2,,HT10062,包含（动力液压站控制箱1，动力液压站控制箱2，基座转接箱，动力猫道液压站）吴骝骅2010-9-9通知新增，合同号：HTXQ10028,2010,2010-9-9,,,,,,
277,备用ZJ70DBS-6,ZJ70DBS,HT10063,2010.09.16《总调室（2010）第（01060）号》通知排产，按50HZ系统进行配置。,2010,2010-9-15,,,,,
278,油气田公司ZJ70DBS,ZJ70DBS,HT10064,用原阿联酋ETA公司ZJ70DBS-1（SZ70DBS08026T）项目VFD房和MCC房，司钻房挪用俄罗斯欧亚ZJ50DBS-2司钻房改制（SZ50DBS08110T）,2010,2010-9-25,,,,,,
279,直驱顶驱液压系统YZ011电控箱,,HT10065,2010.09.28《总调室（2010）第（01155）号》通知排产，用原顶驱控制系统DQ70B-1 SBDQ70B08395T控制箱改制,2010,2010-10-5,,,,,
280,DQ40BZ直驱顶驱电控系统-5,DQ40BZ,HT10066,2010-10-12《商务部（2010）第（00385）号》通知排产，2010-10-13《总调室（2010）第（01155）号》，2011-12-16《总调室（2011）第（01405）号》用于OTC参展,2010,2010-10-12,刘俊负责,,,,
281,DQ40BZ直驱顶驱电控系统-6,DQ40BZ,HT10067,2010-10-12《商务部（2010）第（00385）号》通知排产，2010-10-13《总调室（2010）第（01155）号》，2011-12-16《总调室（2011）第（01405）号》用于金海岸,2010,2010-10-12,刘俊负责,,,,
282,DQ40BZ直驱顶驱电控系统-7,DQ40BZ,HT10068,2010-10-12《商务部（2010）第（00385）号》通知排产，2010-10-13《总调室（2010）第（01155）号》,2010,2010-10-12,刘俊负责,,,,
283,DQ70BZ直驱顶驱电控系统-5,DQ70BZ,HT10069,2010-10-12《商务部（2010）第（00385）号》通知排产，2010-10-13《总调室（2010）第（01155）号》,2010,2010-10-12,刘俊负责,,,,
284,DQ70BZ直驱顶驱电控系统-6,DQ70BZ,HT10070,2010-10-12《商务部（2010）第（00385）号》通知排产，2010-10-13《总调室（2010）第（01155）号》,2010,2010-10-12,刘俊负责,,,,
285,DQ70BZ直驱顶驱电控系统-7,DQ70BZ,HT10071,2010-10-12《商务部（2010）第（00385）号》通知排产，2010-10-13《总调室（2010）第（01155）号》，2012-1-13《商务部（2012）第（00007）号》配套给塔二堪ZJ50DBS项目新增顶驱X11005217,2010,2010-10-12,刘俊负责,,,,
286,DQ70BZ直驱顶驱电控系统-8,DQ70BZ,HT10072,2010-10-12《商务部（2010）第（00385）号》通知排产，2010-10-13《总调室（2010）第（01155）号》，2011-12-31《商务部（2011）第（00895）号》通知，2012-1-4《总调室（2012）第（00001）号》用于委内瑞拉备用,2010,2010-10-12,刘俊负责,,,,
287,DQ70BZ直驱顶驱电控系统-9,DQ70BZ,HT10073,2010-10-12《商务部（2010）第（00385）号》通知排产，2010-10-13《总调室（2010）第（01155）号》，2012-1-13《总调度室（2012）第（00033）号》,2010,2010-10-12,刘俊负责,,,,
288,DQ70BZ直驱顶驱电控系统-10,DQ70BZ,HT10074,2010-10-12《商务部（2010）第（00385）号》通知排产，2010-10-13《总调室（2010）第（01155）号》，2012-1-13《总调度室（2012）第（00033）号》,2010,2010-10-12,刘俊负责,,,,
289,DQ70BZ直驱顶驱电控系统-11,DQ70BZ,HT10085,2010-12-07《商务部（2010）第（00723）号》通知排产。2010-12-10《商务部（2010）第（00729）号》JZ103396。原生产令号：10021309，2012-1-13《总调度室（2012）第（00033）号》,2010,2010-12-7,刘俊负责,,,,
290,DQ70BZ直驱顶驱电控系统-12,DQ70BZ,HT10086,2010-12-07《商务部（2010）第（00723）号》通知排产。2010-12-10《商务部（2010）第（00729）号》JZ103396。原生产令号：10021309，2012-1-13《总调度室（2012）第（00033）号》,2010,2011-5-24,刘俊负责,,,,
291,DQ70BZ直驱顶驱电控系统-13,DQ70BZ,HT10087,2010-12-07《商务部（2010）第（00723）号》通知排产。2010-12-10《商务部（2010）第（00729）号》JZ103396。原生产令号：10021309，2012-1-13《总调度室（2012）第（00033）号》,2010,2011-5-24,刘俊负责,,,,
292,DQ70BZ直驱顶驱电控系统-14,DQ70BZ,HT10088,2010-12-07《商务部（2010）第（00723）号》通知排产。2010-12-10《商务部（2010）第（00729）号》JZ103396。原生产令号：10021309，2012-1-13《总调度室（2012）第（00033）号》,2010,2011-5-24,刘俊负责,,,,
293,DQ70BZ直驱顶驱电控系统-15,DQ70BZ,HT10089,2010-12-07《商务部（2010）第（00723）号》通知排产。2010-12-10《商务部（2010）第（00729）号》JZ103396。原生产令号：10021309,2010,2011-5-24,刘俊负责,,,,
294,DQ70BZ直驱顶驱电控系统-16,DQ70BZ,HT10090,2010-12-07《商务部（2010）第（00723）号》通知排产。2010-12-10《商务部（2010）第（00729）号》JZ103396。原生产令号：10021309.2012-07-27《商务部（2012）第（0727831）号》转给金海岸项目,2010,2011-5-24,刘俊负责,,,,
295,井架工,,HT10075,2010-10-13吴骝华通知编制，计划12-1交友信。合同号：HTXQ10030,2010,2010-10-13,江强负责,,,,,
296,整流测试房,,HT10076,房体用原广汉退回碳钢司钻房改造,2010,2010-11-1,,,,,
297,吐哈6055队70LDB钻机改造,ZJ70LDB,HT10077,2010-11-2《商务部（2010）第（00616）号》通知排产，合同号JZ103042，更换所有电传部分的电缆,2010,2010-11-2,张凤军负责,,,,
298,VTB iDrill远程监控系统,,HT10078,2010-11-10《商务部（2010）第（00631）号》通知排产，2010-11-15总调室收到商务部联系单于《总调室（2010）第（01379）号》安排生产,2010,2010-11-15,张凤军负责,,,,
299,防爆荧光灯（试产批次）,,HT10079,2010-11-17根据研发组研发进度要求排产,2010,2010-11-17,,,,,
300,防爆荧光灯生产（第一批）,,HT10080,2010-12-2根据研发组研发进度要求排产，数量：400,2010,2010-12-2,杨依萍负责,,,,
301,捷乌DQ70BZ直驱顶驱-1,DQ70BZ,HT10081,2010-11-30《商务部（2010）第（00716）号》通知排产，DQ70BZ直驱顶驱电机（使用之前我部与宏华签订的电机合同中的电机）、顶驱电缆、切换柜、司钻室操作箱、触摸屏程序修改。合同号：JZ110908,2010,2010-12-2,杨依萍负责,,,,
302,捷乌DQ70BZ直驱顶驱-2,DQ70BZ,HT10082,2010-11-30《商务部（2010）第（00716）号》通知排产，DQ70BZ直驱顶驱电机（使用之前我部与宏华签订的电机合同中的电机）、顶驱电缆、切换柜、司钻室操作箱、触摸屏程序修改。合同号：JZ110909,2010,2010-12-2,杨依萍负责,,,,
303,捷乌DQ70BZ直驱顶驱-3,DQ70BZ,HT10083,2010-11-30《商务部（2010）第（00716）号》通知排产，DQ70BZ直驱顶驱电机（使用之前我部与宏华签订的电机合同中的电机）、顶驱电缆、切换柜、司钻室操作箱、触摸屏程序修改。合同号：JZ110910,2010,2010-12-2,杨依萍负责,,,,
304,60HZ变频电源房,,HT10084,50HZ变60HZ变频电源房，为60HZ钻机设备调试提供电源,2010,2010-12-20,杨依萍负责,供应部：甘蓓,,,
305,美国SAI2000HP钻机平移系统,,SB50DBS10031T,该生产令号 包括2套液压箱。商务部联系单号：商务部（2010）第（00113）号。2010-5-4张溪龙送广汉岳东签收,2010,2010-3-1,,,,,,
306,哈萨克SMART OIL ZJ40CZ-1,ZJ40CZ,SZ40C10001T,,2010,2010-3-1,,,,,,
307,哈萨克SMART OIL ZJ40CZ-2,ZJ40CZ,SZ40C10002T,,2010,2010-3-1,,,,,,
308,捷乌ZJ50DBST,ZJ50DBST,SZ50DBS10003T,2010.5.17《商务部（2010）第（00209）号》通知由科威特burgan ZJ50DBST挪用.宏华项目指令：X10012216《商务部（2010）第（00236）号》,2010,2010-4-22,2010.5.24更新,,,,,
309,捷乌ZJ70DBS低温列车钻机,ZJ70DBS,SZ70DBS10004T,,2010,2010-3-1,,,,,,
310,备用ZJ40L钻机,ZJ40L,SZ40L10005T,司钻房挪用给HT10052,2010,2010-3-1,,,,,,
311,备用ZJ50DBS液压站控制箱-1,,SZ50DBS10007T,2010.6.9《商务部（2010）第（00249）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101451,2010,2010-6-9,,,,,,
312,备用ZJ50DBS液压站控制箱-2,,SZ50DBS10008T,2010.6.9《商务部（2010）第（00249）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101452,2010,2010-6-9,,,,,,
313,备用ZJ50DBS液压站控制箱-3,,SZ50DBS10009T,2010.6.9《商务部（2010）第（00249）号》。2010-7-2《商务部（2010）第（00295）号》，合同号：JZ101453,2010,2010-6-9,,,,,,
314,单根拖挂ZJ256-PZB钻机,ZJ256-PZB,X10015240,2010-5-31《商务部（2010）第（00236）号》说明生产指令,2010,2010-5-27,,,,,,
315,JACKUP 9000米钻井模块,,X10011234,2010-5-31《商务部（2010）第（00236）号》说明生产指令，2010-12-10《商务部（2010）第（00729）号》JZ103449,2010,2010-6-7,,,,,
316,SLB ZJ50DBS-3,ZJ50DBS,X10019217,,2010,2010-6-7,,,,,,
317,叙利亚ZJ50DBST,ZJ50DBST,X10020216,2010-12-3《商务部（2010）第（00720）号》叙利亚ZJ50DBS是直接挪用整套金海岸ZJ50DBST，生产令号是：X10020216。请做相应工作安排,2010,2010-6-23,2010.12.6更新,,,,,
318,缅甸ZJ70DBS,ZJ70DBS,X10023221,商务部2010-7-17：商务部（2010）第（00323）号。正式启动通知。,2010,2010-7-14,,,,,
319,巴西ATI ZJ50DBS-1,ZJ50DBS,X10033245,商务部2010-7-17：商务部（2010）第（00323）号。正式启动通知。,2010,2010-7-19,,,,,,
320,巴西ATI ZJ50DBS-2,ZJ50DBS,X10034245,商务部2010-7-17：商务部（2010）第（00323）号。正式启动通知。,2010,2010-7-19,,,,,,
321,巴西ATI ZJ50DBS-3,ZJ50DBS,X10035245,商务部2010-7-17：商务部（2010）第（00323）号。正式启动通知。,2010,2010-7-19,,,,,,
322,西南局ZJ70LDB,ZJ70LDB,X10030220,宏天配套司钻房。商务部2010-7-20：商务部（2010）第（00332）号。,2010,2010-7-21,,,,,,
323,印度ZJ30CZ车载钻机（常温）,ZJ30CZ,X10044224,商务部2010-9-1：商务部（2010）第（00462）号。2011-02-23《总调度室（2011）第（00211）号》更改项目名称.JZ111916,2010,2010-9-1,技术部：黄登亮,供应部：赵娟,,,
