序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,,,,,,,
125,DQ70BZ直驱顶驱电控系统-23,DQ450DBZ,10035736,2011-05-19《商务部（2011）第（00350）号》，2011-05-19《总调度室（2011）第（00617）号》,2011,2011-5-19,,,,,,,,
126,DQ70BZ直驱顶驱电控系统-24,DQ450DBZ,10035737,2011-05-19《商务部（2011）第（00350）号》，2011-05-19《总调度室（2011）第（00617）号》,2011,2011-5-19,,,,,,,,
127,DQ70BZ直驱顶驱电控系统-25,DQ450DBZ,10035738,2011-05-19《商务部（2011）第（00350）号》，2011-05-19《总调度室（2011）第（00617）号》,2011,2011-5-19,,,,,,,,
128,备用DQ450DBZ直驱-1,DQ450DBZ,X10048367,2011-11-07《商务部（2011）第（00826）号》,2011,2011-11-8,,,,,,,,
129,备用DQ450DBZ直驱-2,DQ450DBZ,X10048368,2011-11-07《商务部（2011）第（00826）号》,2011,2011-11-8,,,,,,,,
130,备用DQ450DBZ直驱-3,DQ450DBZ,X10048369,2011-11-07《商务部（2011）第（00826）号》,2011,2011-11-8,,,,,,,,
131,备用DQ450DBZ直驱-4,DQ450DBZ,X10048370,2011-11-07《商务部（2011）第（00826）号》,2011,2011-11-8,,,,,,,,
132,俄罗斯ZJ40CZ,ZJ40CZ,X10069238,2011-01-24冷静发项目启动会邮件，2011-01-26《商务部（2011）第（00028）号》，2011-1-27《总调度室（2011）第（00135）号》发节点计划，2011-02-14《总调度室（2011）第（00173）号》更改项目名称,2011,2011-1-26,,技术部负责人：黄川,总调室负责人：刘俊,供应部负责人：李枫,,,,
133,金海岸也门ZJ40CZ,ZJ40CZ,X10070238,2011-02-10《商务部（2011）第（00042）号》，2011-02-14《总调度室（2011）第（00173）号》。2011-10-21《总调度室（2011）第（01195）号》，原：备用40CZ车载钻机（低温）。2012-01-09《商务部（2012）第（00002）号》。2012-01-11《总调度室（2012）第（00023）号》,2011,2011-2-14,序列号已编制,,总调室负责人：杨依萍,供应部负责人：李枫,,,,
134,油气公司ZJ40DBS,ZJ40DBS,X11001211,2011-01-28《商务部（2011）第（00033）号》。2011-1-25《总调度室（2011）第（00151）号》，计划挪用宏华自制ZJ40DBS-1,2011,2011-2-6,,技术部负责人：方锐,总调室负责人：刘俊,宏华总调负责人：安康,,,,
135,哈萨克ZJ70LDB,ZJ70LDB,X11007220,2011-02-14《总调度室（2011）第（00176）号》，2011-02-21《商务部（2011）第（00117）号》，2011-03-03《总调度室（2011）第（00260）号》VFD房挪用原川庆70LDB(生产令号:SZ70LDB08040T)JZ111952，该项目司钻房已经挪用给川西ZJ50L钻机改造-2（50635）HT10053使用，现需补齐该司钻房。,2011,2011-2-14,,科贸：马章成,总调室负责人：刘俊,供应部负责人：谢同花,总体负责人：唐浩,技术部负责人：黄登亮,,
136,捷乌土库曼ZJ70DBS-2,ZJ70DBS,X11008221,2011-02-14《商务部（2011）第（00048）号》，2011-02-14《总调度室（2011）第（00176）号》，2011-02-21《商务部（2011）第（00118）号》发生产令号。JZ111918,2011,2011-2-14,,技术部负责人：张俊波,总调室负责人：张凤军,供应部负责人：甘蓓,,,,
137,捷乌土库曼ZJ70DBS-3,ZJ70DBS,X11009221,2011-02-14《商务部（2011）第（00048）号》，2011-02-14《总调度室（2011）第（00176）号》，2011-02-21《商务部（2011）第（00118）号》发生产令号。JZ111919,2011,2011-2-14,,技术部负责人：张俊波,总调室负责人：张凤军,供应部负责人：甘蓓,,,,
138,也门ZJ50DBS改造,ZJ50DBS,X11011247,2011-3-21《商务部（2011）第（11156）号》.2011-4-19《商务部（2011）第（11201）号》通知暂停，2011-04-19《总调度室（2011）第（00458）号》通知暂停,2011,,,技术部负责人：设计三室,,,,,,
139,长城井下电动泵-1,,Q11005202,2011-2-28上午开启动会，赵崇胜参加。JZ11112358,2011,,,,总调室负责人：羊慕倪,,,,,
140,长城井下电动泵-2,,Q11006202,2011-04-12《2011销字第091号》杜永，2011-04-13《总调度室（2011）第（00425）号》，2011-04-15《商务部（2011）第（00196）号》。JZ11112359,2011,2011-4-13,,,总调室负责人：羊慕倪,,,,,
141,CACT惠州21-1泥浆泵控制系统,,Q11011217,2011-04-21《商务部（2011）第（00321）号》，2011-04-21《总调度室（2011）第（00484）号》,2011,2011-4-21,,,总调室负责人：刘俊,,,,,
142,低温ZJ70DBS,ZJ70DBS,X11004233,2011-04-12《商务部（2011）第（00187）号》，2011-04-13《总调度室（2011）第（00425）号》,2011,2011-4-13,,,总调室负责人：张凤军,,,,,
143,日本90天车项目避雷系统,,W11002201,2011-05-12《商务部（2011）第（00347）号》JZ111953,2011,2011-5-12,,,总调室负责人：羊慕倪,,,,,
144,泰国ZJ50DBS,ZJ50DBS,X11014217,2011-5-19《商务部（2011）第（00353）号》、《总调度室（2011）第（00616）号》主体使用原油气公司ZJ50DBS（X10026217），新制作固控系统、平移系统、增加软启动柜,2011,2011-5-11,,,总调室负责人：刘俊,技术部：侯延飞,总调室：刘俊,,,
145,欧亚ZJ50DBS钻机-4（全列车移动钻机）,ZJ50DBS,X11015247,2011-06-07《商务部（2011）第（00378）号》，2011-06-10《总调度室（2011）第（00692）号》,2011,2011-6-7,,,总调室负责人：张凤军,,,,,
146,伊日德利尔ZJ40T-1,ZJ40T,X11017248,2011-06-13《商务部（2011）第（00384）号》，2011-06-10《总调度室（2011）第（00692）号》，合同号：JZ112532,2011,2011-6-14,,,总调室负责人：羊慕倪,,,,,
147,伊日德利尔ZJ40T-2,ZJ40T,X11018248,2011-06-13《商务部（2011）第（00384）号》，2011-06-10《总调度室（2011）第（00692）号》，合同号：JZ112533,2011,2011-6-14,,,总调室负责人：羊慕倪,,,,,
148,伊日德利尔ZJ40T-3,ZJ40T,X11019248,2011-06-13《商务部（2011）第（00384）号》，2011-06-10《总调度室（2011）第（00692）号》，合同号：JZ112543,2011,2011-6-14,,,总调室负责人：羊慕倪,,,,,
149,伊日德利尔ZJ40T-4,ZJ40T,X11020248,2011-06-13《商务部（2011）第（00384）号》，2011-06-10《总调度室（2011）第（00692）号》，合同号：JZ112544,2011,2011-6-14,,,总调室负责人：羊慕倪,,,,,
150,伊日德利尔ZJ40T-5,ZJ40T,X11021248,2011-06-13《商务部（2011）第（00384）号》，2011-06-10《总调度室（2011）第（00692）号》，合同号：JZ112545,2011,2011-6-14,,,总调室负责人：羊慕倪,,,,,
151,伊日德利尔ZJ40T-6,ZJ40T,X11026248,2011-08-01《2011科俄字079号》，2011-08-02《总调度室（2011）第（00900）号》，合同号：JZ112927,2011,2011-8-8,,,总调室负责人：羊慕倪,,,,,
152,伊日德利尔ZJ40T-7,ZJ40T,X11027248,2011-08-01《2011科俄字079号》，2011-08-02《总调度室（2011）第（00900）号》，合同号：JZ112928,2011,2011-8-8,,,总调室负责人：羊慕倪,,,,,
153,伊日德利尔ZJ40T-8,ZJ40T,X11028248,2011-08-01《2011科俄字079号》，2011-08-02《总调度室（2011）第（00900）号》，合同号：JZ112929,2011,2011-8-8,,,总调室负责人：羊慕倪,,,,,
154,伊日德利尔ZJ40T-9,ZJ40T,X11029248,2011-08-01《2011科俄字079号》，2011-08-02《总调度室（2011）第（00900）号》，合同号：JZ112930,2011,2011-8-8,,,总调室负责人：羊慕倪,,,,,
155,伊日德利尔ZJ40T-10,ZJ40T,X11030248,2011-08-01《2011科俄字079号》，2011-08-02《总调度室（2011）第（00900）号》，合同号：JZ112931,2011,2011-8-8,,,总调室负责人：羊慕倪,,,,,
156,伊日德利尔ZJ40T-11,ZJ40T,X11031248,2011-08-01《2011科俄字079号》，2011-08-02《总调度室（2011）第（00900）号》，合同号：JZ112932,2011,2011-8-8,,,总调室负责人：羊慕倪,,,,,
157,哥伦比亚ZJ40DBST,ZJ40DBST,X11022210,2011-06-16《总调度室（2011）第（00704）号》,2011,2011-6-15,,,总调室负责人：江强,质量部负责人：俞萃,,,,
158,中海油番禺4-2钻机模块,,X11032221,2011-08-09《商务部（2011）第（00601）号》，2011-08-02《总调度室（2011）第（00903）号》，2012-01-09《商务部（2011）第（00897）号》JZ120045,2011,2011-8-9,,,总调室负责人：羊慕倪,,,,,
159,中海油番禺5-1钻机模块,,X11033221,2011-08-09《商务部（2011）第（00601）号》，2011-08-02《总调度室（2011）第（00903）号》，2012-01-09《商务部（2011）第（00897）号》JZ120046,2011,2011-8-9,,,总调室负责人：羊慕倪,,,,,
160,巴西HRT 3T直升机项目-1,,X11034245,2011-08-22《商务部（2011）第（00620）号》，2011-08-23《总调度室（2011）第（00948）号》，2011-12-21《商务部（2011）第（00866）号》JZ114394,2011,2011-8-23,序列号已编制,,总调室负责人：温泉 ,,,,,
161,巴西HRT 3T直升机项目-2,,X11035245,2011-08-22《商务部（2011）第（00620）号》，2011-08-23《总调度室（2011）第（00948）号》，2011-12-21《商务部（2011）第（00866）号》JZ114395,2011,2011-8-23,序列号已编制,,总调室负责人：温泉 ,,,,,
162,巴西HRT 3T直升机项目-3,,X11036245,2011-08-22《商务部（2011）第（00620）号》，2011-08-23《总调度室（2011）第（00948）号》，2011-12-21《商务部（2011）第（00866）号》JZ114396,2011,2011-8-23,序列号已编制,,总调室负责人：温泉 ,,,,,
163,巴西HRT 3T直升机项目-4,,X11037245,2011-08-22《商务部（2011）第（00620）号》，2011-08-23《总调度室（2011）第（00948）号》，2011-12-21《商务部（2011）第（00866）号》JZ114397,2011,2011-8-23,序列号已编制,,总调室负责人：温泉 ,,,,,
164,巴西HRT 3T直升机项目-5,,,,2011,,,,总调室负责人：温泉 ,,,,,
165,巴西HRT 3T直升机项目-6,,,,2011,,,,总调室负责人：温泉 ,,,,,
166,升降系统和锁紧装置,,X11023249,2011-09-22《商务部（2011）第（00774）号》，2011-09-26《总调度室（2011）第（01095）号》，2011-10-17《商务部（2011）第（00799）号》,2011,2011-9-26,,,总调室负责人：羊慕倪,,,,,
167,华东石油局F200改造,ZJ40L,W11013202,2011-09-27《商务部（2011）第（00777）号》，2011-09-27《总调度室（2011）第（01104）号》，2011-12-26《商务部（2011）第（00889）号》JZ114403,2011,2011-9-27,,,总调室负责人：江强,,,,,
168,也门ZJ40CZ,ZJ40CZ,X10070238,2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》，2012-8-29《商务部（2012）第（0802）号》合同号：JZ124968,2011,2011-10-11,,,总调室负责人：羊慕倪,供应部负责人：刘亮,,,,
169,委内瑞拉ZJ50DBS-1,ZJ50DBS,X10020216,2011-10-09《商务部（2011）第（00786）号》，2011-10-10《总调度室（2011）第（01130）号》。原叙利亚50DBST：2011-10-11《总调度室（2011）第（01137）号》更改项目名称。,2011,2011-10-11,,,总调室负责人：羊慕倪,,,,,
170,委内瑞拉ZJ50DBS-2,ZJ50DBS,X11006217,2011-11-03《总调度室（2011）第（01241）号》，挪用俄罗斯北方钻井ZJ50DBS-8，2012-3-31《商务部（2012）第（00276）号》,2011,2011-11-3,,,总调室负责人：江强,,,,,
171,委内瑞拉ZJ70DBS-1,ZJ70DBS,X11012221,2011-04-02《总调度室（2011）第（00404）号》，2011-04-21《总调度室（2011）第（00477）号》更改令号。原埃宏ZJ70DBS-2：2011-10-11《总调度室（2011）第（01137）号》更改项目名称。,2011,2011-4-2,宏华总调室：张茂林,,总调室负责人：江强,,,,,
172,委内瑞拉ZJ70DBS-2,ZJ70DBS,X10055246,2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。原叙利亚ZJ70DBST-1：2011-10-11《总调度室（2011）第（01137）号》更改项目名称。,2011,2011-10-11,,,总调室负责人：江强,,,,,
173,委内瑞拉ZJ70DBS-3,ZJ70DBS,HT11053,2011-09-02《总调度室（2011）第（01007）号》。2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。原备用ZJ70DBS-7：2011-10-11《总调度室（2011）第（0    ）号》更改项目名称，对应宏华生产令号：X11013221。,2011,2011-9-2,宏华总调室：张茂林,技术部负责人：骆辉亮,总调室负责人：江强,,,,,
174,委内瑞拉ZJ70DBS-4,ZJ70DBS,X10056246,2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。原叙利亚ZJ70DBST-2：2011-10-11《总调度室（2011）第（01137）号》更改项目名称。2012-3-26《商务部（2012）第（00226）号》，合同号：JZ121519,2011,2011-10-11,,,总调室负责人：江强,,,,,
175,委内瑞拉ZJ30CZ,ZJ30CZ,X10037224,2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。原ZJ30CZ车载钻机（低温）：2011-10-11《总调度室（2011）第（01137）号》更改项目名称。,2011,2011-10-11,,,总调室负责人：羊慕倪,,,,,
176,委内瑞拉ZJ70D,ZJ70D,HT0903,2011-10-09《商务部（2011）第（00786）号》，2011-10-10《总调度室（2011）第（01130）号》。原备用ZJ70D-2：2011-10-11《总调度室（2011）第（01137）号》更改项目名称，对应宏华生产令号：X11003219。2012-3-14《商务部（2011）第（00196）号》，合同号：JZ121327,2011,2011-10-11,,,总调室负责人：温泉 ,,,,,
177,委内瑞拉ZJ50D,ZJ50D,HT11052,2011-09-02《总调度室（2011）第（01007）号》，2011-09-16《总调度室（2011）第（01055）号》。2011-10-09《商务部（2011）第（00786）号》，2011-10-10《总调度室（2011）第（01130）号》。原备用ZJ70D：2011-10-11《总调度室（2011）第（01137）号》更改项目名称，对应宏华生产令号：X11002214。2012-3-14《商务部（2011）第（00196）号》，合同号：JZ121327,2011,2011-9-2,,技术部负责人：王亮,总调室负责人：温泉,,,,,
178,委内瑞拉ZJ20T-1,ZJ20T,X11041202,MCC房挪用油气ZJ20T（X10039224）。2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。,2011,2011-9-6,,,总调室负责人：羊慕倪,,,,,
179,委内瑞拉ZJ20T-2,ZJ20T,X11043202,MCC房挪用ZJ20CZ车载钻机（X10022241）。2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。2011-10-11《总调度室（2011）第（01137）号》,2011,2011-9-6,,,总调室负责人：羊慕倪,,,,,
180,委内瑞拉ZJ20T-3,ZJ20T,X11044202,2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。2011-10-11《总调度室（2011）第（01137）号》,2011,2011-9-6,,,总调室负责人：羊慕倪,,,,,
181,委内瑞拉ZJ20T-4,ZJ20T,X11045202,2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。2011-10-11《总调度室（2011）第（01137）号》,2011,2011-10-11,,,总调室负责人：羊慕倪,,,,,
182,委内瑞拉ZJ20T-5,ZJ20T,X11046202,2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。2011-10-11《总调度室（2011）第（01137）号》,2011,2011-10-11,,,总调室负责人：江强,,,,,
183,委内瑞拉ZJ90DBS,ZJ90DBS,X11042222,2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。2011-10-11《总调度室（2011）第（01137）号》，2012-3-31《商务部（2012）第（00276）号》JZ121626,2011,2011-10-11,,宏华总调室：张茂林,总调室负责人：羊慕倪,,,,,
184,委内瑞拉ZJ40DBS-1,ZJ40DBS,X11039211,2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。VFD房和司钻房挪用自制教学钻机ZJ40DBS-1 SZ40DBS08011T（宏华物资）2011-10-11《总调度室（2011）第（01137）号》,2011,2011-10-11,,宏华总调室负责人：雷云,总调室负责人：江强,,,,,
185,委内瑞拉ZJ40DBS-2,ZJ40DBS,X11040211,2011-10-09《商务部（2011）第（00785）号》，2011-10-10《总调度室（2011）第（01130）号》。VFD房和司钻房挪用自制教学钻机ZJ40DBS-2 SZ40DBS08012T（宏华物资）2011-10-11《总调度室（2011）第（01137）号》，2012-3-31《商务部（2012）第（00276）号》JZ121630,2011,2011-10-11,,宏华总调室负责人：雷云,总调室负责人：江强,,,,,
186,齿轮齿条钻机,,X11047207,2011-10-27《商务部（2011）第（00812）号》，2011-10-31《总调度室（2011）第（01230）号》。2012-2-16《总调度室（2012）第（00151）号》，HH令号：X11054207。2012-6-1《商务部（2012）第（0601434）号》JZ122952,2011,2011-10-29,,宏华：周小冬,总调室负责人：江强,,,,,
187,陆丰131改造,,,2011-10-24《商务部（2011）第（00805）号》要求启动设计,2011,2011-10-31,,,总调室负责人：羊慕倪,,,,,
188,中海油建水源井,,X11055201,2011-10-25《商务部（2011）第（00807）号》，2011-11-08《商务部（2011）第（00825）号》，2011-12-26《商务部（2011）第（00889）号》JZ114451,2011,2011-10-31,,,总调室负责人：温泉,,,,,
189,备用ZJ50LDB-1（HH油服）,ZJ50LDB,X11060213,2011-11-29《总调度室（2011）第（01323）号》。合同号：JZ121627,2011,2011-11-29,,,总调室负责人：羊慕倪,,,,,
190,备用ZJ50LDB-2（HH油服）,ZJ50LDB,X11061213,2011-11-29《总调度室（2011）第（01323）号》。合同号：JZ121628,2011,2011-11-29,,,总调室负责人：羊慕倪,,,,,
191,中石化石油集团西南石油局ZJ50D-1,ZJ50D,X11051214,2012-1-18《商务部（2012）第（00014）号》，2012-1-20《总调度室（2012）第（00060）号》,2011,2012-1-17,,,总调室负责人：温泉,,技术部：设计二室（骆辉亮）,,,
192,中石化石油集团西南石油局ZJ50D-2,ZJ50D,X11052214,2012-1-18《商务部（2012）第（00014）号》，2012-1-20《总调度室（2012）第（00060）号》,2011,2012-1-17,,,总调室负责人：温泉,,技术部：设计二室（骆辉亮）,,,
193,中石化石油集团西南石油局ZJ50D-3,ZJ50D,X11053214,2012-1-18《商务部（2012）第（00014）号》，2012-1-20《总调度室（2012）第（00060）号》,2011,2012-1-17,,,总调室负责人：温泉,,技术部：设计二室（骆辉亮）,,,
194,Nautilus-Technip采矿船,,X11057222,2011-12-02《商务部（2011）第（00860）号》,2011,2011-10-31,,,总调室负责人：江强,质量部：俞翠,,,,
195,苏丹ZJ70DBS（SD ZJ70DBS）,ZJ70DBS,X11059221,2011-11-30《总调度室（2011）第（01329）号》。2012-1-11《商务部（2012）第（00003）号》,2011,2011-11-29,序列号已编制,,总调室负责人：江强,,,,,
196,苏丹ZJ50DBS（SD ZJ50DBS）,ZJ50DBS,X11058217,2011-12-06《商务部（2011）第（00830）号》。2011-12-07《总调度室（2011）第（01363）号》。2012-1-16《商务部（2012）第（00003）号》，2012-1-16《总调度室（2012）第（00044）号》,2011,2011-11-29,,,总调室负责人：江强,,,,,
197,中海油《恩平24-2油田前期研究项目-恩平24-2油田模块钻机供电方式及海上钻机谐波危害治理措施研究项目》,,,2011-11-11《商务部（2011）第（00830）号》要求启动设计，2011-11-29《商务部（2011）第（00858）号》要求启动设计,2011,2011-11-11,,,总调室负责人：江强,,,,,
198,塔二堪ZJ50DBS,ZJ50DBS,X11005217,2011-11-24《总调度室（2011）第（01038）号》，2011-11-29《总调度室（2011）第（01322）号》。原俄罗斯北方钻井公司ZJ50DBS-5项目。,2011,2011-11-30,,,总调室负责人：江强,,,,,
199,俄罗斯VTB租赁公司（奥伦堡50DBS钻机改造）-1,,W11015217,2011-11-29《商务部（2011）第（00853）号》。2012-3-16《商务部（2012）第（00201）号》，JZ121328,2011,2011-11-30,,,总调室负责人：羊慕倪,,,,,
200,俄罗斯VTB租赁公司（奥伦堡50DBS钻机改造）-2,,W11016217,2011-11-29《商务部（2011）第（00853）号》。2012-3-16《商务部（2012）第（00201）号》，JZ121329,2011,2011-11-30,,,总调室负责人：羊慕倪,,,,,
201,俄罗斯VTB租赁公司（奥伦堡50DBS钻机改造）-3,,W11017217,2011-11-29《商务部（2011）第（00853）号》。2012-3-16《商务部（2012）第（00201）号》，JZ121330,2011,2011-11-30,,,总调室负责人：羊慕倪,,,,,
202,俄罗斯VTB租赁公司（奥伦堡50DBS钻机改造）-4,,W11018217,2011-11-29《商务部（2011）第（00853）号》。2012-3-16《商务部（2012）第（00201）号》，JZ121331,2011,2011-11-30,,,总调室负责人：羊慕倪,,,,,
203,捷乌70DBS-2钻机增加平移装置改造,,Q11026233,2011-12-13《商务部（2011）第（00875）号》，2011-12-13《总调度室（2011）第（01383）号》，2012-5-16《商务部（2012）第（0516044）号》合同JZ121979。,2011,2011-12-13,,宏华总调负责人：贾博云,总调室负责人：羊慕倪,,,,,
204,川通ZJ50L,ZJ50L,X11063212,2011-12-23《商务部（2011）第（00888）号》，2011-12-26《总调度室（2011）第（01429）号》。合同号：JZ121686,2011,2011-12-13,,宏华总调负责人：冯清,总调室负责人：羊慕倪,,,,,
205,宏华俄罗斯ZJ50DBS井架,,Q11025217,只设计预埋图,2011,2012-1-17,,宏华总调负责人：胡为民,总调室负责人：羊慕倪,技术部：杨成燕,,,,
