序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,,,
159,HTB12B型变频调速异步电动机（2012）-21,HTB12B,DJ12B12021,2012-8-10《电机部（2012）第（0810277）号》。本批次含1台电机，配套江苏信得50DBS、70DBS,2012,2012-8-10,,,,
160,HTB12B型变频调速异步电动机（2012）-22,HTB12B,DJ12B12022,2012-8-10《电机部（2012）第（0810277）号》。本批次含1台电机，配套江苏信得50DBS、70DBS,2012,2012-8-10,,,,
161,HTB12B型变频调速异步电动机（2012）-23,HTB12B,DJ12B12023,2012-8-10《电机部（2012）第（0810277）号》。本批次含1台电机，配套江苏信得50DBS、70DBS,2012,2012-8-10,,,,
162,HTB12B型变频调速异步电动机（2012）-24,HTB12B,DJ12B12024,2012-9-25《电机部（2012）第（0925767）号》。本批次含1台电机，配套Nabors项目,2012,2012-9-25,,,,
163,HTB12B型变频调速异步电动机（2012）-25,HTB12B,DJ12B12025,2012-9-25《电机部（2012）第（0925767）号》。本批次含1台电机，配套Nabors项目,2012,2012-9-25,,,,
164,HTB12B型变频调速异步电动机（2012）-26,HTB12B,DJ12B12026,2012-10-10《电机部（2012）第（1015973）号》。本批次含1台电机，配套油气田ZJ70DBS,2012,2012-10-15,,,,
165,HTB12B型变频调速异步电动机（2012）-27,HTB12B,DJ12B12027,2012-10-10《电机部（2012）第（1015973）号》。本批次含1台电机，配套油气田ZJ70DBS,2012,2012-10-15,,,,
166,HTB12B型变频调速异步电动机（2012）-28,HTB12B,DJ12B12028,2012-10-10《电机部（2012）第（1015973）号》。本批次含1台电机，配套油气田ZJ70DBS,2012,2012-10-15,,,,
167,HTB12B型变频调速异步电动机（2012）-29,HTB12B,DJ12B12029,2012-10-10《电机部（2012）第（1015973）号》。本批次含1台电机，配套油气田ZJ70DBS,2012,2012-10-15,,,,
168,HTB12B型变频调速异步电动机（2012）-30,HTB12B,DJ12B12030,2012-10-10《电机部（2012）第（1015973）号》。本批次含1台电机，配套油气田ZJ70DBS,2012,2012-10-15,,,,
169,HTB12B型变频调速异步电动机（2012）-31,HTB12B,DJ12B12031,2012-10-10《电机部（2012）第（1015973）号》。本批次含1台电机，配套油气田ZJ70DBS,2012,2012-10-15,,,,
170,HTB12A型变频调速异步电动机（2012）-1,HTB12A,DJ12A12001,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
171,HTB12A型变频调速异步电动机（2012）-2,HTB12A,DJ12A12002,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
172,HTB12A型变频调速异步电动机（2012）-3,HTB12A,DJ12A12003,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套埃及SAKSON70DBS泥浆泵电机,2012,2012-7-30,,,,
173,HTB19A型变频调速异步电动机（2012）-1,HTB19A,DJ19A12001,2012-8-3《电机部（2012）第（0803457）号》。含1台电机,2012,2012-8-3,,,,
174,HTB19A型变频调速异步电动机（2012）-2,HTB19A,DJ19A12002,2012-8-3《电机部（2012）第（0803457）号》。含1台电机,2012,2012-8-3,,,,
175,HTB19A型变频调速异步电动机（2012）-3,HTB19A,DJ19A12003,2012-8-3《电机部（2012）第（0803457）号》。含1台电机,2012,2012-8-3,,,,
176,HTB21C型变频调速异步电动机（2012）-1,HTB21C,DJ21C12001,2012-7-16《电机部（2012）第（0716625）号》。含1台电机,2012,2012-7-17,,,,
177,HTB21C型变频调速异步电动机（2012）-2,HTB21C,DJ21C12002,2012-7-16《电机部（2012）第（0716625）号》。含1台电机,2012,2012-7-17,,,,
178,HTB21C型变频调速异步电动机（2012）-3,HTB21C,DJ21C12003,2012-7-16《电机部（2012）第（0716625）号》。含1台电机,2012,2012-7-17,,,,
179,HTB21C型变频调速异步电动机（2012）-4,HTB21C,DJ21C12004,2012-7-16《电机部（2012）第（0716625）号》。含1台电机,2012,2012-7-17,,,,
180,HTB02C型变频调速异步电动机（2012）-1,HTB02C,DJ02C11001,2012-1-12《电机部（2012）第（00012）号》。本批次含8台电机，油改电第2-5套,2012,2012-1-12,,,,
181,HTB02C型变频调速异步电动机（2012）-2,HTB02C,DJ02C12001,2012-2-29《电机部（2012）第（00053）号》。本批次含4台电机,2012,2012-2-29,,,,
182,HTB02C型变频调速异步电动机（2012）-3,HTB02C,DJ02C12002,2012-2-29《电机部（2012）第（0419280）号》。本批次含1台电机,2012,2012-4-19,,,,
183,HTB02C型变频调速异步电动机（2012）-4,HTB02C,DJ02C12003,2012-2-29《电机部（2012）第（0419280）号》。本批次含1台电机,2012,2012-4-19,,,,
184,HTB02C型变频调速异步电动机（2012）-5,HTB02C,DJ02C12004,2012-2-29《电机部（2012）第（0419280）号》。本批次含1台电机,2012,2012-4-19,,,,
185,HTB02C型变频调速异步电动机（2012）-6,HTB02C,DJ02C12005,2012-2-29《电机部（2012）第（0419280）号》。本批次含1台电机,2012,2012-4-19,,,,
186,HTB02C型变频调速异步电动机（2012）-7,HTB02C,DJ02C12006,2012-5-21《电机部（2012）第（0521719）号》。本批次含1台电机,2012,2012-5-21,,,,
187,HTB02C型变频调速异步电动机（2012）-8,HTB02C,DJ02C12007,2012-5-21《电机部（2012）第（0521719）号》。本批次含1台电机,2012,2012-5-21,,,,
188,HTB02C型变频调速异步电动机（2012）-9,HTB02C,DJ02C12008,2012-8-9《电机部（2012）第（0809880）号》。本批次含1台电机，配套川东钻探VFD房油改电改造,2012,2012-8-9,,,,
189,HTB02C型变频调速异步电动机（2012）-10,HTB02C,DJ02C12009,2012-8-9《电机部（2012）第（0809880）号》。本批次含1台电机，配套川东钻探VFD房油改电改造,2012,2012-8-9,,,,
190,HTB02B型变频调速异步电动机（2012）-1,HTB02B,DJ02B12001,2012-2-3《电机设计组（201）第（00030）号》。本批次含5台电机,2012,2012-2-3,,,,
191,HTB02B型变频调速异步电动机（2012）-2,HTB02B,DJ02B12002,2012-3-8《电机部（2012）第（00069）号》。本批次含27台电机,2012,2012-3-8,,,,
192,HTB19型变频调速异步电动机（2012）-1,HTB19,DJ01912001,2012-2-3《电机设计组（201）第（00030）号》。本批次含5台电机,2012,2012-2-3,,,,
193,HTB19型变频调速异步电动机（2012）-2,HTB19,DJ01912002,2012-3-6《电机设计组（2012）第（00066）号》。本批次含15台电机,2012,2012-3-2,,,,
194,HTB06型变频调速异步电动机（2012）-1,HTB06,DJ00612001,2012-2-3《电机设计组（201）第（00030）号》。本批次含10台电机,2012,2012-2-3,,,,
195,HTB06型变频调速异步电动机（2012）-2,HTB06,DJ00612002,2012-3-8《电机部（2012）第（00069）号》。本批次含12台电机,2012,2012-3-8,,,,
196,HTB06型变频调速异步电动机（2012）-3,HTB06,DJ00612003,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套埃及SAKSON70DBS绞车电机,2012,2012-7-30,,,,
197,HTB06型变频调速异步电动机（2012）-4,HTB06,DJ00612004,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套埃及SAKSON70DBS绞车电机,2012,2012-7-30,,,,
198,HTB06型变频调速异步电动机（2012）-5,HTB06,DJ00612005,2012-10-10《电机部（2012）第（1010684）号》。本批次含1台电机，配套川西壳牌70DBS,2012,2012-10-10,,,,
199,HTB06型变频调速异步电动机（2012）-6,HTB06,DJ00612006,2012-10-10《电机部（2012）第（1015973）号》。本批次含1台电机，配套油气田ZJ70DBS,2012,2012-10-15,,,,
200,HTB06型变频调速异步电动机（2012）-7,HTB06,DJ00612007,2012-10-10《电机部（2012）第（1015973）号》。本批次含1台电机，配套油气田ZJ70DBS,2012,2012-10-15,,,,
201,HTB06型变频调速异步电动机（2012）-8,HTB03D,DJ00612008,2012-10-23《电机部（2012）第（1023330）号》。本批次含1台电机,2012,2012-10-23,,,,
202,HTB06A型变频调速异步电动机（2012）-1,HTB06A,DJ06A12001,2012-2-3《电机设计组（2012）第（00030）号》。本批次含10台电机,2012,2012-2-3,,,,
203,HTB06A型变频调速异步电动机（2012）-2,HTB06A,DJ06A12002,2012-3-8《电机部（2012）第（00069）号》。本批次含34台电机,2012,2012-3-8,,,,
204,HTB06A型变频调速异步电动机（2012）-3,HTB06A,DJ06A12003,2012-10-10《电机部（2012）第（1010684）号》。本批次含1台电机，配套川西壳牌70DBS,2012,2012-10-10,,,,
205,HTB06A型变频调速异步电动机（2012）-4,HTB06A,DJ06A12004,2012-10-10《电机部（2012）第（1015973）号》。本批次含1台电机，配套油气田ZJ70DBS,2012,2012-10-15,,,,
206,HTB06A型变频调速异步电动机（2012）-5,HTB06A,DJ06A12005,2012-10-10《电机部（2012）第（1015973）号》。本批次含1台电机，配套油气田ZJ70DBS,2012,2012-10-15,,,,
207,HTB06A型变频调速异步电动机（2012）-6,HTB06A,DJ06A12006,2012-10-23《电机部（2012）第（1023330）号》。本批次含1台电机,2012,2012-10-23,,,,
208,HTB48型变频调速异步电动机（2012）-1,HTB48,DJ04812001,2012-5-16《电机设计组（2012）第（0516845）号》。本批次含1台电机,2012,2012-5-16,,,,
209,HTB48型变频调速异步电动机（2012）-2,HTB48,DJ04812002,2012-5-16《电机设计组（2012）第（0516845）号》。本批次含1台电机,2012,2012-5-16,,,,
210,HTB48型变频调速异步电动机（2012）-3,HTB48,DJ04812003,2012-5-16《电机设计组（2012）第（0516845）号》。本批次含1台电机,2012,2012-5-16,,,,
211,HTB48型变频调速异步电动机（2012）-4,HTB48,DJ04812004,2012-5-16《电机设计组（2012）第（0516845）号》。本批次含1台电机,2012,2012-5-16,,,,
212,HTB48型变频调速异步电动机（2012）-5,HTB48,DJ04812005,2012-5-16《电机设计组（2012）第（0516845）号》。本批次含1台电机,2012,2012-5-16,,,,
213,HTB48型变频调速异步电动机（2012）-6,HTB48,DJ04812006,2012-5-16《电机设计组（2012）第（0516845）号》。本批次含1台电机,2012,2012-5-16,,,,
214,HTB05型变频调速异步电动机（2012）-2,HTB05,DJ00512002,2012-2-3《电机设计组（2012）第（00030）号》。本批次含10台电机,2012,2012-2-3,,,,
215,HTB21型变频调速异步电动机（2012）-1,HTB21,DJ02112001,2012-2-3《电机设计组（2012）第（00030）号》。本批次含5台电机,2012,2012-2-3,,,,
216,HTB05A型变频调速异步电动机（2012）-1,HTB05A,DJ05A12001,2012-3-12《电机设计组（2012）第（00077）号》。本批次含2台电机,2012,2012-3-12,,,,
217,HTB05A型变频调速异步电动机（2012）-2,HTB05A,DJ05A12002,2012-5-24《电机设计组（2012）第（0523538）号》。本批次含1台电机,2012,2012-5-24,,,,
218,HTB05A型变频调速异步电动机（2012）-3,HTB05A,DJ05A12003,2012-5-24《电机设计组（2012）第（0523538）号》。本批次含1台电机,2012,2012-5-24,,,,
219,HTB05A型变频调速异步电动机（2012）-4,HTB05A,DJ05A12004,2012-5-24《电机设计组（2012）第（0523538）号》。本批次含1台电机,2012,2012-5-24,,,,
220,HTB05A型变频调速异步电动机（2012）-5,HTB05A,DJ05A12005,2012-5-24《电机设计组（2012）第（0523538）号》。本批次含1台电机,2012,2012-5-24,,,,
221,HTB05A型变频调速异步电动机（2012）-6,HTB05A,DJ05A12006,2012-10-23《电机部（2012）第（1023330）号》。本批次含1台电机,2012,2012-10-23,,,,
222,HTB05A型变频调速异步电动机（2012）-7,HTB05A,DJ05A12007,2012-10-23《电机部（2012）第（1023330）号》。本批次含1台电机,2012,2012-10-23,,,,
223,HTB05A型变频调速异步电动机（2012）-8,HTB05A,DJ05A12008,2012-10-23《电机部（2012）第（1023330）号》。本批次含1台电机,2012,2012-10-23,,,,
224,HTB27A型变频调速异步电动机（2012）-1,HTB27A,DJ27A12001,2012-7-4《电机设计组（2012）第（0704513）号》。本批次含1台电机,2012,2012-7-4,,,,
225,HTB27A型变频调速异步电动机（2012）-2,HTB27A,DJ27A12002,2012-7-4《电机设计组（2012）第（0704513）号》。本批次含1台电机,2012,2012-7-4,,,,
226,HTB27A型变频调速异步电动机（2012）-3,HTB27A,DJ27A12003,2012-7-4《电机设计组（2012）第（0704513）号》。本批次含1台电机,2012,2012-7-4,,,,
227,HTB27A型变频调速异步电动机（2012）-4,HTB27A,DJ27A12004,2012-7-4《电机设计组（2012）第（0704513）号》。本批次含1台电机,2012,2012-7-4,,,,
228,HTB27A型变频调速异步电动机（2012）-5,HTB27A,DJ27A12005,2012-7-4《电机设计组（2012）第（0704513）号》。本批次含1台电机,2012,2012-7-4,,,,
229,HTB27A型变频调速异步电动机（2012）-6,HTB27A,DJ27A12006,2012-7-4《电机设计组（2012）第（0704513）号》。本批次含1台电机,2012,2012-7-4,,,,
230,HTB27A型变频调速异步电动机（2012）-7,HTB27A,DJ27A12007,2012-7-4《电机设计组（2012）第（0704513）号》。本批次含1台电机,2012,2012-7-4,,,,
231,HTB27A型变频调速异步电动机（2012）-8,HTB27A,DJ27A12008,2012-7-4《电机设计组（2012）第（0704513）号》。本批次含1台电机,2012,2012-7-4,,,,
232,HTB28型变频调速异步电动机（2012）-1,HTB28,DJ02812001,2012-7-17《电机设计组（2012）第（0717066）号》。本批次含1台电机，2012-8-2《商务部（2012）第（0802）号》合同号：JZ124503(合同为2台),2012,2012-7-17,,,,
233,HTB28型变频调速异步电动机（2012）-2,HTB28,DJ02812002,2012-8-29《电机设计组（201）第（0829834）号》。本批次含1台电机,2012,2012-8-29,,,,
234,HTB13型变频调速异步电动机（2012）-1,HTB13,DJ01312001,2012-2-3《电机设计组（201）第（00030）号》。本批次含10台电机,2012,2012-2-3,,,,
235,HTB13型变频调速异步电动机(2012)-2,HTB13,DJ01312002,2012-4-13《电机设计组（2012）第（0413535）号》。本批次含1台电机,2012,2012-4-13,,,,
236,HTB13型变频调速异步电动机(2012)-3,HTB13,DJ01312003,2012-4-13《电机设计组（2012）第（0413535）号》。本批次含1台电机,2012,2012-4-13,,,,
237,HTB13型变频调速异步电动机(2012)-4,HTB13,DJ01312004,2012-4-13《电机设计组（2012）第（0413535）号》。本批次含1台电机,2012,2012-4-13,,,,
238,HTB13型变频调速异步电动机(2012)-5,HTB13,DJ01312005,2012-4-13《电机设计组（2012）第（0413535）号》。本批次含1台电机,2012,2012-4-13,,,,
239,HTB13型变频调速异步电动机(2012)-6,HTB13,DJ01312006,2012-4-13《电机设计组（2012）第（0413535）号》。本批次含1台电机,2012,2012-4-13,,,,
240,HTB13型变频调速异步电动机(2012)-7,HTB13,DJ01312007,2012-4-13《电机设计组（2012）第（0413535）号》。本批次含1台电机,2012,2012-4-13,,,,
241,HTB13型变频调速异步电动机(2012)-8,HTB13,DJ01312008,2012-4-13《电机设计组（2012）第（0413535）号》。本批次含1台电机,2012,2012-4-13,,,,
242,HTB13型变频调速异步电动机(2012)-9,HTB13,DJ01312009,2012-4-13《电机设计组（2012）第（0413535）号》。本批次含1台电机,2012,2012-4-13,,,,
243,HTB13型变频调速异步电动机(2012)-10,HTB13,DJ01312010,2012-4-13《电机设计组（2012）第（0413535）号》。本批次含1台电机,2012,2012-4-13,,,,
244,HTB13型变频调速异步电动机(2012)-11,HTB13,DJ01312011,2012-4-13《电机设计组（2012）第（0413535）号》。本批次含1台电机,2012,2012-4-13,,,,
245,HTB13型变频调速异步电动机(2012)-12,HTB13,DJ01312012,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
246,HTB13型变频调速异步电动机(2012)-13,HTB13,DJ01312013,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
247,HTB13型变频调速异步电动机(2012)-14,HTB13,DJ01312014,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
248,HTB13型变频调速异步电动机(2012)-15,HTB13,DJ01312015,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
249,HTB13型变频调速异步电动机(2012)-16,HTB13,DJ01312016,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
250,HTB13型变频调速异步电动机(2012)-17,HTB13,DJ01312017,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
251,HTB13型变频调速异步电动机(2012)-18,HTB13,DJ01312018,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
252,HTB13型变频调速异步电动机(2012)-19,HTB13,DJ01312019,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
253,HTB13型变频调速异步电动机(2012)-20,HTB13,DJ01312020,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
254,HTB13型变频调速异步电动机(2012)-21,HTB13,DJ01312021,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
255,HTB13型变频调速异步电动机(2012)-22,HTB13,DJ01312022,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
256,HTB13型变频调速异步电动机(2012)-23,HTB13,DJ01312023,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
257,HTB13型变频调速异步电动机(2012)-24,HTB13,DJ01312024,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
258,HTB13型变频调速异步电动机(2012)-25,HTB13,DJ01312025,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
259,HTB13型变频调速异步电动机(2012)-26,HTB13,DJ01312026,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,序列号已编制,,,
260,HTB13型变频调速异步电动机(2012)-27,HTB13,DJ01312027,2012-5-28《电机设计组（2012）第（0528702）号》。本批次含1台电机,2012,2012-5-28,,,,
261,HTB34型变频调速异步电动机（2012）-1,HTB34,DJ03412001,2012-9-14《电机设计组（2012）第（0914864）号》。本批次含1台电机,2012,2012-9-14,,,,
262,HTB34型变频调速异步电动机（2012）-2,HTB34,DJ03412002,2012-9-14《电机设计组（2012）第（0914864）号》。本批次含1台电机,2012,2012-9-14,,,,
263,HTZ01直流电动机（2012）-1,HTZ01,DJZ00112001,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
264,HTZ01直流电动机（2012）-2,HTZ01,DJZ00112002,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
265,HTZ01直流电动机（2012）-3,HTZ01,DJZ00112003,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
266,HTZ01直流电动机（2012）-4,HTZ01,DJZ00112004,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
267,HTZ01直流电动机（2012）-5,HTZ01,DJZ00112005,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
268,HTZ01直流电动机（2012）-6,HTZ01,DJZ00112006,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
269,HTZ01直流电动机（2012）-7,HTZ01,DJZ00112007,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
270,HTZ01直流电动机（2012）-8,HTZ01,DJZ00112008,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
271,HTZ01A直流电动机（2012）-1,HTZ01A,DJZ01A12001,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
272,HTZ01A直流电动机（2012）-2,HTZ01A,DJZ01A12002,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
273,HTZ01A直流电动机（2012）-3,HTZ01A,DJZ01A12003,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
274,HTZ01A直流电动机（2012）-4,HTZ01A,DJZ01A12004,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
275,HTZ01A直流电动机（2012）-5,HTZ01A,DJZ01A12005,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
276,HTZ01A直流电动机（2012）-6,HTZ01A,DJZ01A12006,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
277,HTZ01A直流电动机（2012）-7,HTZ01A,DJZ01A12007,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
278,HTZ01A直流电动机（2012）-8,HTZ01A,DJZ01A12008,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
279,HTZ01B直流电动机（2012）-1,HTZ01B,DJZ01B12001,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
280,HTZ01B直流电动机（2012）-2,HTZ01B,DJZ01B12002,2012-4-1《电机设计组（2012）第（0401180）号》。本批次含1台电机，阿塞拜疆,2012,2012-4-1,,,,
281,HTZ01B直流电动机（2012）-3,HTZ01B,DJZ01B12003,2012-4-1《电机设计组（2012）第（0618877）号》。本批次含1台电机，印度70D,2012,2012-6-18,,,,
282,HTB41A型变频调速异步电动机（2012）-1,HTB41A,DJ41A12001,2012-4-28《电机设计组（2012）第（0428524）号》。本批次含1台电机,2012,2012-5-3,,,,
283,HTB41A型变频调速异步电动机（2012）-2,HTB41A,DJ41A12002,2012-4-28《电机设计组（2012）第（0428524）号》。本批次含1台电机,2012,2012-5-3,,,,
284,HTB30A型变频调速异步电动机（2012）-1,HTB30A,DJ30A12001,2012-5-24《电机设计组（2012）第（0524421）号》。本批次含1台电机,2012,2012-5-24,,,,
285,HTB30A型变频调速异步电动机（2012）-2,HTB30A,DJ30A12002,2012-5-24《电机设计组（2012）第（0524421）号》。本批次含1台电机,2012,2012-5-24,,,,
286,HTB30A型变频调速异步电动机（2012）-3,HTB30A,DJ30A12003,2012-5-24《电机设计组（2012）第（0524421）号》。本批次含1台电机,2012,2012-5-24,,,,
287,HTB30A型变频调速异步电动机（2012）-4,HTB30A,DJ30A12004,2012-7-16《电机设计组（2012）第（0716044）号》。本批次含1台电机,2012,2012-7-17,,,,
288,HTB30A型变频调速异步电动机（2012）-5,HTB30A,DJ30A12005,2012-7-16《电机设计组（2012）第（0716044）号》。本批次含1台电机,2012,2012-7-17,,,,
289,HTB30A型变频调速异步电动机（2012）-6,HTB30A,DJ30A12006,2012-7-16《电机设计组（2012）第（0719505）号》。本批次含1台电机,2012,2012-7-20,,,,
290,HTB30A型变频调速异步电动机（2012）-7,HTB30A,DJ30A12007,2012-7-16《电机设计组（2012）第（0719505）号》。本批次含1台电机,2012,2012-7-20,,,,
291,HTB30A型变频调速异步电动机（2012）-8,HTB30A,DJ30A12008,2012-7-16《电机设计组（2012）第（0719505）号》。本批次含1台电机,2012,2012-7-20,,,,
292,HTB30A型变频调速异步电动机（2012）-9,HTB30A,DJ30A12009,2012-7-16《电机设计组（2012）第（0719505）号》。本批次含1台电机,2012,2012-7-20,,,,
293,哈萨克SMART-OIL ZJ70DBS钻机（常温）,ZJ70DBS,X12004221,2012-1-10《总调度室（2012）第（00011）号》，2012-2-29《商务部（2012）第（00176）号》传动挪用原备用ZJ70DBS-12（HT10077），后供应部补回，2012-05-03《商务部（2012）第（050360）号》JZ122491,2012,2012-1-10,,技术部负责人：尹小俊,调度负责人：羊慕倪,供应部负责人：王益尧
294,川庆国际（厄瓜多尔）ZJ70DBS-3,ZJ70DBS,X12051221,2012-4-18《总调度室（2012）第（00457）号》，2012-4-18《商务部（2012）第（0418845）号》，2012-05-03《商务部（2012）第（050360）号》JZ122491。2012-07-12《商务部（2012）第（0712141）号》由原哈萨克SMART-OIL ZJ70DBS钻机（常温）-2变更为川庆国际（厄瓜多尔）ZJ70DBS-3，2012-07-12《总调度室（2012）第（00773）号》,2012,2012-4-18,序列号已编制,技术部负责人：尹小俊,调度负责人：羊慕倪,供应部负责人：王益尧
295,HH油服ZJ70LDB-1,ZJ70LDB,X12005220,2012-1-11《总调度室（2012）第（00023）号》，2012-1-17《商务部（2012）第（00010）号》，2012-6-27《商务部（2012）第（0626725）号》，合同号：JZ123676,2012,2012-1-11,,,调度负责人：羊慕倪,
296,HH油服ZJ70LDB-2,ZJ70LDB,X12006220,2012-1-11《总调度室（2012）第（00023）号》，2012-1-17《商务部（2012）第（00010）号》，2012-6-27《商务部（2012）第（0626725）号》，合同号：JZ123677,2012,2012-1-11,,,调度负责人：羊慕倪,
297,HH油服ZJ50LDB-3,ZJ50LDB,X12007213,2012-1-11《总调度室（2012）第（00023）号》，2012-1-17《商务部（2012）第（00010）号》，2012-3-23《商务部（2012）第（00211）号》，2012-3-26《总调度室（2012）第（00320）号》，2012-6-27《商务部（2012）第（0626725）号》，合同号：JZ123674,2012,2012-1-11,,,调度负责人：羊慕倪,
298,HH油服ZJ50LDB-4,ZJ50LDB,X12008213,2012-1-11《总调度室（2012）第（00023）号》，2012-1-17《商务部（2012）第（00010）号》，2012-6-27《商务部（2012）第（0626725）号》，合同号：JZ123675,2012,2012-1-11,,,调度负责人：羊慕倪,
299,HH油服ZJ50LDB-5,ZJ50LDB,X12022213,2012-6-27《商务部（2012）第（0626725）号》，合同号：JZ123663,2012,2012-2-23,序列号已编制,,调度负责人：羊慕倪,
300,委内瑞拉ZJ50DBS-1（中原特车）,ZJ50DBS,X12027217,2012-1-17《商务部（2012）第（00011）号》启动设计，2012-2-10《总调度室（2012）第（00125）号》，2012-2-14《总调度室（2012）第（00133）号》，2012-3-26 HH 3.0版计划大表取消，2012-5-18《商务部（2012）第（0517155）号》合同号：Z122865。2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-28《设备配件班05-20120327》，2012-4-24《商务部（2012）第（0424990）号》,2012,2012-1-26,序列号已编制,技术负责人：范翔,调度负责人：江强,采购负责人：李枫
301,委内瑞拉ZJ50DBS-2（中原特车）,ZJ50DBS,X12028217,2012-1-17《商务部（2012）第（00011）号》启动设计，2012-2-10《总调度室（2012）第（00125）号》，2012-2-14《总调度室（2012）第（00133）号》，2012-3-26 HH 3.0版计划大表取消，2012-5-18《商务部（2012）第（0517155）号》合同号：Z122865。2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-28《设备配件班05-20120327》，2012-4-24《商务部（2012）第（0424990）号》,2012,2012-1-26,序列号已编制,技术负责人：范翔,调度负责人：江强,采购负责人：李枫
302,委内瑞拉ZJ50DBS-3（中原特车）,ZJ50DBS,X12031217,2012-1-17《商务部（2012）第（00011）号》启动设计，2012-2-10《总调度室（2012）第（00125）号》，2012-2-14《总调度室（2012）第（00133）号》，2012-3-26 HH 3.0版计划大表取消，2012-5-18《商务部（2012）第（0517155）号》合同号：JZ122865。2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-28《设备配件班05-20120327》，2012-4-24《商务部（2012）第（0424990）号》,2012,2012-1-26,序列号已编制,技术负责人：范翔,调度负责人：江强,采购负责人：李枫
